id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1552305677556670466,1552265836332720128,2022-07-27 16:51:28 CEST,2022-07-27,16:51:28,+0200,1498072614589370378,dioshacker707,andyy,,"@sanegiyuusgf OOOO NUAJAJAJAJ, MIRA TE CUENTO ALGO LOCO EN MI COLEGIO TMB PODES SEGUIR UNA CARRERA (A PARTIR DE 3RO) TENES 4 PARA ELEGIR Y CUANDO TE GRADUES NO JACE FALTA Q VAYAS A LA UNI ES RE LOCO BAUAJKSKS",es,[],[],[],1,0,0,[],[],https://twitter.com/dioshacker707/status/1552305677556670466,False,,0,,,,,,,,"[{'screen_name': 'sanegiyuusgf', 'name': 'mafer | novio de satoru', 'id': '1475661988818784256'}]",,,,
1552305024952320000,1552124583209213952,2022-07-27 16:48:53 CEST,2022-07-27,16:48:53,+0200,120955382,username_namer,Bot árabe que ama a 🇲🇽… 😉,,"@ClaudiaMontaezR @LaydaSansores Simplemente la Ley la alcanzará tarde que temprano.   Entre tanta corrupción, saqueo, daño a la nación, y los que ha acumulado a lo largo de su botóxica carrera, tendrán los jueces de sobra para elegir sus cargos. 😊",es,[],[],[],0,0,0,[],[],https://twitter.com/username_namer/status/1552305024952320000,False,,0,,,,,,,,"[{'screen_name': 'ClaudiaMontaezR', 'name': 'Claudia M', 'id': '766432392'}, {'screen_name': 'LaydaSansores', 'name': 'Layda Sansores', 'id': '195537412'}]",,,,
1552297105041014784,1552067685269340166,2022-07-27 16:17:24 CEST,2022-07-27,16:17:24,+0200,2644617736,pechevarriap,Patricia,,"@BaronKorty Jajajajajajajajaja  Reitero, Bobo para elegir carrera 😉",es,[],[],[],1,0,1,[],[],https://twitter.com/pechevarriap/status/1552297105041014784,False,,0,,,,,,,,"[{'screen_name': 'BaronKorty', 'name': 'Carlos López (Barón Korty).', 'id': '800704593772429312'}]",,,,
1552295683654385667,1552067685269340166,2022-07-27 16:11:45 CEST,2022-07-27,16:11:45,+0200,2644617736,pechevarriap,Patricia,,"@BaronKorty Bobo para elegir carrera 🤣🤣🤣🤣  A mí me dicen que es de deportista, por la forma. No sé...",es,[],[],[],1,0,0,[],[],https://twitter.com/pechevarriap/status/1552295683654385667,False,,0,,,,,,,,"[{'screen_name': 'BaronKorty', 'name': 'Carlos López (Barón Korty).', 'id': '800704593772429312'}]",,,,
1552288809110409216,1552288809110409216,2022-07-27 15:44:26 CEST,2022-07-27,15:44:26,+0200,180155844,chiniwilliams,chinita,,"Hablemos de la estafa que es este tuit. Estudiar y trabajar ya de por si es difícil. Yo tuve que elegir entre entrenar o la carrera. Y mi salud mental me pedía a gritos no dejar Taekwondo, otra vez.  Y eso que yo tengo la facultad cerca y trabajo desde mi casa",es,[],[],[],1,0,0,[],[],https://twitter.com/chiniwilliams/status/1552288809110409216,False,https://twitter.com/Camiaramburu99/status/1552041915339706368,0,,,,,,,,[],,,,
1552286052299292672,1552286052299292672,2022-07-27 15:33:29 CEST,2022-07-27,15:33:29,+0200,3422268417,nacho_garay,𝐍𝐚𝐜𝐡𝐨𝐠,,cansado de esto llamado tener que elegir una carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/nacho_garay/status/1552286052299292672,False,,0,,,,,,,,[],,,,
1552269992867106817,1552269992867106817,2022-07-27 14:29:40 CEST,2022-07-27,14:29:40,+0200,1547937197734604804,jungkookitaylor,k,,m wstoy re durmiendo en matemáticas dios qn m mando a elegir esta carrera,es,[],[],[],0,0,0,[],[],https://twitter.com/jungkookitaylor/status/1552269992867106817,False,,0,,,,,,,,[],,,,
1552250193667624962,1552250193667624962,2022-07-27 13:11:00 CEST,2022-07-27,13:11:00,+0200,248584600,diaridtarragona,Diari de Tarragona,,"La Cursa popular de l’Hospitalet de l’Infant vuelve después de la pandemia La 14.ª edición de la competición se disputará el 31 de julio, en la que se podrá elegir entre una carrera no competitiva y competitiva   https://t.co/knT0POxBTp",es,[],['https://www.diaridetarragona.com/costa/la-cursa-popular-de-l-hospitalet-de-l-infant-vuelve-despues-de-la-pandemia-KK11829146'],[],0,0,0,[],[],https://twitter.com/diaridtarragona/status/1552250193667624962,False,,0,,,,,,,,[],,,,
1552247966819581952,1552247966819581952,2022-07-27 13:02:09 CEST,2022-07-27,13:02:09,+0200,352637376,santanayeray,Yeray Santana,,"#BadNews #Ebau Me parece una malisima noticia. Se debe primar la excelencia, si ahora las notas están super-infladas, si lo ponen más fácil puede provocar que la frustración aumente al no poder elegir la carrera que quieren por unasmilésimas. Error @educaciongob @desdelamoncloa",es,"[{'screen_name': 'educaciongob', 'name': 'ministerio de educación y formación profesional', 'id': '242343224'}, {'screen_name': 'desdelamoncloa', 'name': 'la moncloa', 'id': '58417540'}]",[],[],1,0,0,"['badnews', 'ebau']",[],https://twitter.com/SantanaYeray/status/1552247966819581952,False,https://twitter.com/elmundoes/status/1552245870883704832,0,,,,,,,,[],,,,
1552247354690084870,1552247354690084870,2022-07-27 12:59:43 CEST,2022-07-27,12:59:43,+0200,319810854,ice_landic,Ice Landic 🇮🇸🇳🇴,,"👉La Selectividad es una forma de ordenar a los estudiantes, de mejor a peor, para que los más brillantes puedan elegir carrera, ya que las plazas son limitadas. Una selectividad “más fácil”, no mejora nada. Si acaso dificulta la discriminación entre buenos y malos.",es,[],[],[],17,46,275,[],[],https://twitter.com/Ice_Landic/status/1552247354690084870,False,https://twitter.com/elmundoes/status/1552245870883704832,0,,,,,,,,[],,,,
